Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
1,67,male,2,own,NA,little,1169,6,radio/TV,good
2,22,female,2,own,little,moderate,5951,48,radio/TV,bad
3,49,male,1,own,little,NA,2096,12,education,good
4,45,male,2,free,little,little,7882,42,furniture/equipment,good
5,53,male,2,free,little,little,4870,24,car,bad
6,35,male,1,free,NA,NA,9055,36,education,good
7,53,male,2,own,quite rich,NA,2835,24,furniture/equipment,good
8,35,male,3,rent,little,moderate,6948,36,car,good
9,61,male,1,own,rich,NA,3059,12,radio/TV,good
10,28,male,3,own,little,moderate,5234,30,car,bad
11,25,female,2,rent,little,moderate,1295,12,car,bad
12,24,female,2,rent,little,little,4308,48,business,bad
13,22,female,2,own,little,moderate,1567,12,radio/TV,good
14,60,male,1,own,little,little,1199,24,car,bad
15,28,female,2,rent,little,little,1403,15,car,good
16,32,female,1,own,moderate,little,1282,24,radio/TV,bad
17,53,male,2,own,NA,NA,2424,24,radio/TV,good
18,25,male,2,own,NA,little,8072,30,business,good
19,44,female,3,free,little,moderate,12579,24,car,bad
20,31,male,2,own,quite rich,NA,3430,24,radio/TV,good
21,48,male,2,own,little,NA,2134,9,car,good
22,44,male,2,rent,quite rich,little,2647,6,radio/TV,good
23,48,male,1,rent,little,little,2241,10,car,good
24,44,male,2,own,moderate,moderate,1804,12,car,good
25,26,male,2,own,NA,NA,2069,10,furniture/equipment,good
26,36,male,1,own,little,little,1374,6,furniture/equipment,good
27,39,male,1,own,little,NA,426,6,radio/TV,good
28,42,female,2,rent,rich,rich,409,12,radio/TV,good
29,34,male,2,own,little,moderate,2415,7,radio/TV,good
30,63,male,2,own,little,little,6836,60,business,bad
31,36,male,2,own,rich,moderate,1913,18,business,good
32,27,male,2,own,little,little,4020,24,furniture/equipment,good
33,30,male,2,own,moderate,moderate,5866,18,car,good
34,57,male,1,rent,NA,NA,1264,12,business,good
35,33,female,3,own,little,rich,1474,12,furniture/equipment,good
36,25,male,1,own,little,moderate,4746,45,radio/TV,bad
37,31,male,2,free,little,NA,6110,48,education,good
38,37,male,2,own,little,rich,2100,18,radio/TV,bad
39,37,male,2,own,little,rich,1225,10,domestic appliances,good
40,24,male,2,own,little,moderate,458,9,radio/TV,good
41,30,male,3,own,quite rich,NA,2333,30,radio/TV,good
42,26,male,2,own,quite rich,moderate,1158,12,radio/TV,good
43,44,male,1,own,little,moderate,6204,18,repairs,good
44,24,male,2,rent,moderate,little,6187,30,car,good
45,58,female,1,free,little,little,6143,48,car,bad
46,35,female,3,own,little,NA,1393,11,car,good
47,39,male,2,own,quite rich,NA,2299,36,radio/TV,good
48,23,female,0,rent,quite rich,little,1352,6,car,good
49,39,male,1,own,little,NA,7228,11,car,good
50,28,female,2,own,moderate,NA,2073,12,radio/TV,good
51,29,male,1,own,NA,moderate,2333,24,furniture/equipment,good
52,30,male,3,own,little,moderate,5965,27,car,good
53,25,male,2,own,little,NA,1262,12,radio/TV,good
54,31,male,2,own,NA,NA,3378,18,car,good
55,57,male,2,free,little,moderate,2225,36,car,bad
56,26,male,1,own,NA,NA,783,6,car,good
57,52,male,3,own,NA,moderate,6468,12,radio/TV,bad
58,31,female,2,own,little,NA,9566,36,radio/TV,good
59,23,female,3,own,little,rich,1961,18,car,good
60,23,female,1,rent,little,little,6229,36,furniture/equipment,bad
61,27,male,2,own,little,moderate,1391,9,business,good
62,50,male,2,own,NA,moderate,1537,15,radio/TV,good
63,61,male,3,free,little,moderate,1953,36,business,bad
64,25,male,2,own,little,moderate,14421,48,business,bad
65,26,female,2,own,little,NA,3181,24,radio/TV,good
66,48,male,2,own,NA,NA,5190,27,repairs,good
67,29,female,2,own,little,NA,2171,12,radio/TV,good
68,22,male,2,own,rich,moderate,1007,12,car,good
69,37,male,2,free,little,NA,1819,36,education,bad
70,25,female,2,own,NA,NA,2394,36,radio/TV,good
71,30,female,2,own,little,NA,8133,36,car,good
72,46,male,1,rent,NA,NA,730,7,radio/TV,good
73,51,male,3,free,little,little,1164,8,vacation/others,good
74,41,female,1,own,little,moderate,5954,42,business,good
75,40,male,3,own,NA,little,1977,36,education,bad
76,66,male,3,free,little,little,1526,12,car,good
77,34,male,2,own,little,little,3965,42,radio/TV,bad
78,51,male,2,own,little,moderate,4771,11,radio/TV,good
79,39,male,1,own,NA,NA,9436,54,car,good
80,22,male,2,own,little,moderate,3832,30,furniture/equipment,good
81,44,female,2,own,NA,NA,5943,24,radio/TV,bad
82,47,male,2,own,quite rich,NA,1213,15,radio/TV,good
83,24,female,1,rent,moderate,NA,1568,18,business,good
84,58,female,1,own,little,little,1755,24,vacation/others,good
85,52,male,1,own,little,little,2315,10,radio/TV,good
86,29,female,3,own,little,NA,1412,12,business,good
87,27,female,2,own,little,moderate,1295,18,furniture/equipment,good
88,47,male,2,free,moderate,moderate,12612,36,education,bad
89,30,male,3,own,moderate,little,2249,18,car,good
90,28,male,2,own,little,little,1108,12,repairs,bad
91,56,male,2,own,little,NA,618,12,radio/TV,good
92,54,male,2,own,little,little,1409,12,car,good
93,33,female,1,own,NA,NA,797,12,radio/TV,bad
94,20,male,2,rent,NA,rich,3617,24,furniture/equipment,good
95,54,male,2,own,rich,moderate,1318,12,car,good
96,58,male,2,rent,little,moderate,15945,54,business,bad
97,61,female,2,own,NA,NA,2012,12,education,good
98,34,male,2,own,moderate,moderate,2622,18,business,good
99,36,male,2,own,little,moderate,2337,36,radio/TV,good
100,36,male,3,rent,NA,moderate,7057,20,car,good
101,41,male,1,rent,moderate,NA,1469,24,car,good
102,24,male,2,rent,little,moderate,2323,36,radio/TV,good
103,24,female,2,own,little,NA,932,6,radio/TV,good
104,35,male,2,rent,little,moderate,1919,9,furniture/equipment,good
105,26,male,2,rent,NA,NA,2445,12,car,good
106,39,male,3,own,little,moderate,11938,24,vacation/others,bad
107,39,male,3,own,little,NA,6458,18,car,bad
108,32,male,2,own,little,moderate,6078,12,car,good
109,30,female,2,own,NA,little,7721,24,furniture/equipment,good
110,35,male,2,own,quite rich,moderate,1410,14,business,good
111,31,male,2,own,moderate,moderate,1449,6,business,good
112,23,female,2,rent,little,rich,392,15,education,good
113,28,male,1,rent,little,moderate,6260,18,car,good
114,25,female,2,own,little,NA,7855,36,car,bad
115,35,male,2,own,quite rich,little,1680,12,radio/TV,good
116,47,male,2,own,NA,NA,3578,48,radio/TV,good
117,30,female,3,own,NA,little,7174,42,radio/TV,bad
118,27,female,2,rent,NA,little,2132,10,furniture/equipment,good
119,23,female,2,own,quite rich,little,4281,33,furniture/equipment,bad
120,36,male,3,own,quite rich,moderate,2366,12,car,good
121,25,female,2,own,little,little,1835,21,radio/TV,bad
122,41,female,3,rent,little,NA,3868,24,car,good
123,24,male,1,rent,little,NA,1768,12,furniture/equipment,good
124,63,male,2,free,little,rich,781,10,car,good
125,27,female,2,rent,NA,moderate,1924,18,furniture/equipment,bad
126,30,male,2,own,little,little,2121,12,car,good
127,40,male,1,own,little,little,701,12,radio/TV,good
128,30,male,2,own,little,moderate,639,12,repairs,bad
129,34,male,3,own,little,moderate,1860,12,car,good
130,29,female,2,own,little,little,3499,12,car,bad
131,24,female,2,own,NA,moderate,8487,48,car,good
132,29,male,2,own,little,little,6887,36,education,bad
133,27,male,1,own,little,NA,2708,15,furniture/equipment,good
134,47,male,2,free,little,NA,1984,18,furniture/equipment,good
135,21,female,2,own,moderate,NA,10144,60,radio/TV,good
136,38,female,2,own,NA,NA,1240,12,radio/TV,good
137,27,male,2,own,rich,NA,8613,27,car,good
138,66,male,1,own,quite rich,moderate,766,12,radio/TV,bad
139,35,male,2,own,NA,moderate,2728,15,radio/TV,good
140,44,female,1,rent,little,rich,1881,12,radio/TV,good
141,27,male,0,own,rich,rich,709,6,car,good
142,30,female,3,own,little,moderate,4795,36,radio/TV,good
143,27,male,3,own,little,little,3416,27,radio/TV,good
144,22,male,2,own,little,little,2462,18,furniture/equipment,bad
145,23,female,2,own,little,NA,2288,21,furniture/equipment,good
146,30,male,2,own,moderate,moderate,3566,48,business,good
147,39,female,2,own,little,little,860,6,car,good
148,51,female,2,own,moderate,NA,682,12,car,good
149,28,male,2,own,little,little,5371,36,furniture/equipment,good
150,46,male,2,own,rich,NA,1582,18,radio/TV,good
151,42,male,2,free,moderate,NA,1346,6,radio/TV,good
152,38,male,2,own,little,NA,1924,10,radio/TV,good
153,24,male,2,own,little,rich,5848,36,radio/TV,good
154,29,female,2,rent,rich,moderate,7758,24,car,good
155,36,male,3,rent,moderate,moderate,6967,24,business,good
156,20,female,2,rent,little,little,1282,12,furniture/equipment,bad
157,48,male,2,own,moderate,little,1288,9,repairs,good
158,45,male,1,own,little,little,339,12,education,good
159,38,male,2,own,moderate,moderate,3512,24,car,good
160,34,male,1,own,NA,NA,1898,6,radio/TV,good
161,36,male,2,own,moderate,NA,2872,24,radio/TV,good
162,30,female,2,own,little,NA,1055,18,car,good
163,36,male,2,own,quite rich,NA,1262,15,domestic appliances,good
164,70,male,3,free,little,moderate,7308,10,car,good
165,36,male,2,own,quite rich,NA,909,36,car,good
166,32,male,2,own,quite rich,NA,2978,6,furniture/equipment,good
167,33,female,2,own,little,little,1131,18,furniture/equipment,bad
168,20,female,2,own,rich,moderate,1577,11,furniture/equipment,good
169,25,female,2,rent,little,NA,3972,24,furniture/equipment,good
170,31,male,2,own,little,moderate,1935,24,business,bad
171,33,male,2,rent,little,little,950,15,car,bad
172,26,female,2,own,little,NA,763,12,furniture/equipment,good
173,34,female,3,own,little,moderate,2064,24,furniture/equipment,bad
174,33,male,2,own,little,moderate,1414,8,radio/TV,good
175,26,male,2,own,little,little,3414,21,education,bad
176,53,female,3,own,NA,NA,7485,30,car,bad
177,42,male,2,own,little,little,2577,12,furniture/equipment,good
178,52,male,2,own,quite rich,little,338,6,radio/TV,good
179,31,male,3,rent,little,NA,1963,12,radio/TV,good
180,65,male,2,own,little,little,571,21,car,good
181,28,male,2,own,little,NA,9572,36,business,bad
182,30,male,3,own,little,moderate,4455,36,business,bad
183,40,male,1,own,NA,little,1647,21,car,bad
184,50,male,2,own,rich,NA,3777,24,furniture/equipment,good
185,36,male,2,own,little,moderate,884,18,car,bad
186,31,male,2,own,little,NA,1360,15,radio/TV,good
187,74,female,3,free,little,moderate,5129,9,car,bad
188,68,male,0,free,little,moderate,1175,16,car,good
189,20,male,2,own,moderate,little,674,12,radio/TV,bad
190,33,female,2,own,little,moderate,3244,18,furniture/equipment,good
191,54,male,3,own,rich,NA,4591,24,business,bad
192,34,male,1,free,moderate,moderate,3844,48,business,bad
193,36,male,2,own,little,moderate,3915,27,business,bad
194,29,male,2,rent,little,NA,2108,6,radio/TV,good
195,21,male,2,rent,moderate,moderate,3031,45,radio/TV,bad
196,34,female,3,own,little,moderate,1501,9,education,bad
197,28,female,2,own,little,NA,1382,6,radio/TV,good
198,27,female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
199,36,male,2,free,NA,moderate,2760,24,car,good
200,40,male,3,own,little,moderate,4297,18,furniture/equipment,bad
201,52,male,2,own,quite rich,NA,936,9,education,good
202,27,male,1,own,little,little,1168,12,car,good
203,26,male,2,own,little,NA,5117,27,business,good
204,21,male,2,rent,little,little,902,12,education,bad
205,38,male,1,own,little,NA,1495,12,car,good
206,38,male,3,free,little,little,10623,30,car,good
207,43,male,2,own,little,NA,1935,12,furniture/equipment,good
208,26,male,2,own,little,moderate,1424,12,domestic appliances,good
209,21,male,1,own,little,little,6568,24,business,good
210,55,male,2,own,rich,NA,1413,12,car,good
211,33,male,2,own,NA,NA,3074,9,radio/TV,good
212,45,female,1,own,NA,NA,3835,36,radio/TV,good
213,50,male,2,own,little,little,5293,27,business,bad
214,66,male,3,own,little,rich,1908,30,business,bad
215,51,male,2,own,NA,NA,3342,36,radio/TV,good
216,39,female,1,own,NA,moderate,932,6,education,good
217,31,male,2,own,little,little,3104,18,business,good
218,23,male,2,own,little,rich,3913,36,radio/TV,good
219,24,male,1,rent,little,little,3021,24,furniture/equipment,good
220,64,female,2,own,little,NA,1364,10,car,good
221,26,male,1,own,little,moderate,625,12,radio/TV,good
222,23,female,2,rent,NA,little,1200,12,education,good
223,30,male,2,own,little,NA,707,12,radio/TV,good
224,32,male,2,own,NA,NA,2978,24,business,good
225,30,male,2,own,little,NA,4657,15,car,good
226,27,male,2,own,little,NA,2613,36,repairs,good
227,27,male,2,own,rich,moderate,10961,48,radio/TV,bad
228,53,male,3,free,little,little,7865,12,furniture/equipment,bad
229,22,male,2,own,little,NA,1478,9,radio/TV,bad
230,22,male,2,free,little,little,3149,24,furniture/equipment,good
231,26,male,2,own,little,rich,4210,36,radio/TV,bad
232,51,male,1,free,quite rich,NA,2507,9,car,good
233,35,male,2,own,moderate,NA,2141,12,radio/TV,good
234,25,male,1,own,little,moderate,866,18,radio/TV,good
235,42,male,1,own,little,NA,1544,4,radio/TV,good
236,30,male,3,own,little,little,1823,24,radio/TV,bad
237,23,male,0,own,NA,moderate,14555,6,car,bad
238,61,male,1,rent,moderate,moderate,2767,21,business,bad
239,35,female,2,own,little,NA,1291,12,radio/TV,good
240,39,male,2,own,little,little,2522,30,radio/TV,good
241,29,female,2,own,NA,little,915,24,car,bad
242,51,male,2,own,little,NA,1595,6,radio/TV,good
243,24,male,2,free,little,little,4605,48,car,bad
244,27,female,2,own,little,NA,1185,12,business,good
245,35,female,1,own,quite rich,NA,3447,12,education,good
246,25,male,2,own,little,NA,1258,24,business,good
247,52,male,2,own,little,NA,717,12,radio/TV,good
248,35,male,2,rent,moderate,NA,1204,6,car,good
249,26,male,2,own,little,rich,1925,24,furniture/equipment,good
250,22,female,2,rent,little,NA,433,18,radio/TV,bad
251,39,female,1,own,rich,little,666,6,car,good
252,46,female,1,own,little,rich,2251,12,furniture/equipment,good
253,24,female,2,own,little,moderate,2150,30,car,bad
254,35,male,2,own,moderate,NA,4151,24,furniture/equipment,good
255,24,male,2,own,NA,moderate,2030,9,furniture/equipment,good
256,27,male,1,own,NA,moderate,7418,60,radio/TV,good
257,35,male,1,own,little,NA,2684,24,radio/TV,good
258,29,male,2,free,little,little,2149,12,radio/TV,bad
259,23,female,2,own,moderate,NA,3812,15,car,good
260,57,female,1,own,moderate,NA,1154,11,radio/TV,good
261,27,male,2,own,little,little,1657,12,furniture/equipment,good
262,55,female,2,own,little,little,1603,24,radio/TV,good
263,36,male,3,free,little,little,5302,18,car,good
264,57,female,1,free,little,NA,2748,12,education,good
265,32,male,1,own,little,NA,1231,10,car,good
266,37,male,2,own,little,moderate,802,15,radio/TV,bad
267,36,male,2,own,NA,NA,6304,36,business,good
268,38,female,2,own,little,NA,1533,24,radio/TV,good
269,45,male,3,own,little,little,8978,14,car,bad
270,25,male,2,own,NA,NA,999,24,radio/TV,good
271,32,male,2,own,NA,NA,2662,18,car,good
272,37,female,2,rent,quite rich,NA,1402,12,furniture/equipment,good
273,36,male,3,free,NA,moderate,12169,48,car,good
274,28,male,2,own,little,moderate,3060,48,radio/TV,bad
275,34,male,1,own,little,little,11998,30,repairs,bad
276,32,male,2,own,little,NA,2697,9,radio/TV,good
277,26,female,2,own,little,NA,2404,18,radio/TV,good
278,49,male,1,own,NA,little,1262,12,furniture/equipment,good
279,32,female,2,own,little,NA,4611,6,furniture/equipment,bad
280,29,male,3,rent,moderate,NA,1901,24,radio/TV,good
281,23,male,2,rent,rich,NA,3368,15,car,good
282,50,male,2,own,little,NA,1574,12,furniture/equipment,good
283,49,male,1,own,NA,rich,1445,18,radio/TV,good
284,63,male,2,own,NA,NA,1520,15,furniture/equipment,good
285,37,male,2,own,moderate,moderate,3878,24,car,good
286,35,female,1,own,little,little,10722,47,car,good
287,26,male,2,own,little,little,4788,48,car,good
288,31,male,3,free,moderate,moderate,7582,48,vacation/others,good
289,49,female,2,own,little,moderate,1092,12,radio/TV,good
