Number,Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,Risk
392,<20,female,1,rent,rich,moderate,983,12,furniture/equipment,good
634,<20,female,2,rent,little,NA,1980,9,furniture/equipment,bad
187,>=70,female,3,free,little,moderate,5129,9,car,bad
537,>=70,female,3,own,NA,little,1374,6,car,good
2,"[20, 40[",female,2,own,little,moderate,5951,48,radio/TV,bad
11,"[20, 40[",female,2,rent,little,moderate,1295,12,car,bad
12,"[20, 40[",female,2,rent,little,little,4308,48,business,bad
13,"[20, 40[",female,2,own,little,moderate,1567,12,radio/TV,good
15,"[20, 40[",female,2,rent,little,little,1403,15,car,good
16,"[20, 40[",female,1,own,moderate,little,1282,24,radio/TV,bad
35,"[20, 40[",female,3,own,little,rich,1474,12,furniture/equipment,good
46,"[20, 40[",female,3,own,little,NA,1393,11,car,good
48,"[20, 40[",female,0,rent,quite rich,little,1352,6,car,good
50,"[20, 40[",female,2,own,moderate,NA,2073,12,radio/TV,good
58,"[20, 40[",female,2,own,little,NA,9566,36,radio/TV,good
59,"[20, 40[",female,3,own,little,rich,1961,18,car,good
60,"[20, 40[",female,1,rent,little,little,6229,36,furniture/equipment,bad
65,"[20, 40[",female,2,own,little,NA,3181,24,radio/TV,good
67,"[20, 40[",female,2,own,little,NA,2171,12,radio/TV,good
70,"[20, 40[",female,2,own,NA,NA,2394,36,radio/TV,good
71,"[20, 40[",female,2,own,little,NA,8133,36,car,good
83,"[20, 40[",female,1,rent,moderate,NA,1568,18,business,good
86,"[20, 40[",female,3,own,little,NA,1412,12,business,good
87,"[20, 40[",female,2,own,little,moderate,1295,18,furniture/equipment,good
93,"[20, 40[",female,1,own,NA,NA,797,12,radio/TV,bad
103,"[20, 40[",female,2,own,little,NA,932,6,radio/TV,good
109,"[20, 40[",female,2,own,NA,little,7721,24,furniture/equipment,good
112,"[20, 40[",female,2,rent,little,rich,392,15,education,good
114,"[20, 40[",female,2,own,little,NA,7855,36,car,bad
117,"[20, 40[",female,3,own,NA,little,7174,42,radio/TV,bad
118,"[20, 40[",female,2,rent,NA,little,2132,10,furniture/equipment,good
119,"[20, 40[",female,2,own,quite rich,little,4281,33,furniture/equipment,bad
121,"[20, 40[",female,2,own,little,little,1835,21,radio/TV,bad
125,"[20, 40[",female,2,rent,NA,moderate,1924,18,furniture/equipment,bad
130,"[20, 40[",female,2,own,little,little,3499,12,car,bad
131,"[20, 40[",female,2,own,NA,moderate,8487,48,car,good
135,"[20, 40[",female,2,own,moderate,NA,10144,60,radio/TV,good
136,"[20, 40[",female,2,own,NA,NA,1240,12,radio/TV,good
142,"[20, 40[",female,3,own,little,moderate,4795,36,radio/TV,good
145,"[20, 40[",female,2,own,little,NA,2288,21,furniture/equipment,good
147,"[20, 40[",female,2,own,little,little,860,6,car,good
154,"[20, 40[",female,2,rent,rich,moderate,7758,24,car,good
156,"[20, 40[",female,2,rent,little,little,1282,12,furniture/equipment,bad
162,"[20, 40[",female,2,own,little,NA,1055,18,car,good
167,"[20, 40[",female,2,own,little,little,1131,18,furniture/equipment,bad
168,"[20, 40[",female,2,own,rich,moderate,1577,11,furniture/equipment,good
169,"[20, 40[",female,2,rent,little,NA,3972,24,furniture/equipment,good
172,"[20, 40[",female,2,own,little,NA,763,12,furniture/equipment,good
173,"[20, 40[",female,3,own,little,moderate,2064,24,furniture/equipment,bad
190,"[20, 40[",female,2,own,little,moderate,3244,18,furniture/equipment,good
196,"[20, 40[",female,3,own,little,moderate,1501,9,education,bad
197,"[20, 40[",female,2,own,little,NA,1382,6,radio/TV,good
198,"[20, 40[",female,2,rent,moderate,moderate,951,12,furniture/equipment,bad
216,"[20, 40[",female,1,own,NA,moderate,932,6,education,good
222,"[20, 40[",female,2,rent,NA,little,1200,12,education,good
239,"[20, 40[",female,2,own,little,NA,1291,12,radio/TV,good
241,"[20, 40[",female,2,own,NA,little,915,24,car,bad
244,"[20, 40[",female,2,own,little,NA,1185,12,business,good
245,"[20, 40[",female,1,own,quite rich,NA,3447,12,education,good
250,"[20, 40[",female,2,rent,little,NA,433,18,radio/TV,bad
251,"[20, 40[",female,1,own,rich,little,666,6,car,good
253,"[20, 40[",female,2,own,little,moderate,2150,30,car,bad
259,"[20, 40[",female,2,own,moderate,NA,3812,15,car,good
268,"[20, 40[",female,2,own,little,NA,1533,24,radio/TV,good
272,"[20, 40[",female,2,rent,quite rich,NA,1402,12,furniture/equipment,good
277,"[20, 40[",female,2,own,little,NA,2404,18,radio/TV,good
279,"[20, 40[",female,2,own,little,NA,4611,6,furniture/equipment,bad
286,"[20, 40[",female,1,own,little,little,10722,47,car,good
296,"[20, 40[",female,2,own,little,moderate,9960,48,furniture/equipment,bad
297,"[20, 40[",female,2,rent,NA,NA,4675,12,car,good
307,"[20, 40[",female,1,rent,NA,NA,4811,30,car,good
309,"[20, 40[",female,2,own,little,moderate,1237,8,furniture/equipment,bad
313,"[20, 40[",female,2,own,little,rich,3749,24,furniture/equipment,good
320,"[20, 40[",female,1,own,little,little,3643,15,furniture/equipment,good
325,"[20, 40[",female,2,own,little,NA,1028,18,car,good
328,"[20, 40[",female,2,own,rich,NA,1525,24,car,good
332,"[20, 40[",female,2,own,moderate,NA,1864,18,education,bad
333,"[20, 40[",female,3,own,moderate,moderate,7408,60,car,bad
334,"[20, 40[",female,1,rent,moderate,NA,11590,48,car,bad
337,"[20, 40[",female,1,own,little,moderate,2101,13,radio/TV,good
338,"[20, 40[",female,2,rent,NA,little,1275,15,domestic appliances,bad
341,"[20, 40[",female,2,free,little,moderate,5743,24,education,good
342,"[20, 40[",female,1,rent,little,little,3599,21,furniture/equipment,good
348,"[20, 40[",female,0,rent,quite rich,moderate,3758,24,radio/TV,good
351,"[20, 40[",female,2,rent,little,NA,1236,9,domestic appliances,good
352,"[20, 40[",female,2,own,little,moderate,959,9,furniture/equipment,bad
360,"[20, 40[",female,2,rent,little,little,2406,30,furniture/equipment,bad
363,"[20, 40[",female,2,own,little,rich,2247,12,car,good
368,"[20, 40[",female,2,rent,little,little,3650,18,furniture/equipment,good
373,"[20, 40[",female,2,rent,little,NA,2146,10,furniture/equipment,good
376,"[20, 40[",female,2,rent,little,little,7685,48,business,bad
382,"[20, 40[",female,3,free,little,moderate,12976,18,car,bad
383,"[20, 40[",female,2,rent,NA,NA,1283,22,car,good
386,"[20, 40[",female,2,own,little,NA,2238,18,radio/TV,good
387,"[20, 40[",female,2,rent,NA,NA,1126,18,radio/TV,good
390,"[20, 40[",female,2,own,little,NA,1449,9,business,good
394,"[20, 40[",female,2,own,little,little,1957,6,radio/TV,good
411,"[20, 40[",female,2,own,little,moderate,1967,24,radio/TV,good
415,"[20, 40[",female,2,own,NA,little,1381,24,car,bad
418,"[20, 40[",female,2,rent,NA,little,8471,18,education,good
419,"[20, 40[",female,3,own,quite rich,NA,2782,21,car,good
420,"[20, 40[",female,2,own,NA,moderate,1042,18,car,bad
421,"[20, 40[",female,2,rent,rich,NA,3186,15,car,good
425,"[20, 40[",female,2,own,NA,moderate,2762,12,furniture/equipment,bad
438,"[20, 40[",female,2,own,rich,NA,1287,24,car,good
440,"[20, 40[",female,0,own,little,rich,609,12,business,bad
