,신고자명,구분,URL,비고(특이사항 등),joined_date,tweet_date,tweet_time,link,retweets,favorites,num_tweets,num_following,num_follower,content
0,윤이삭,불법거래,https://twitter.com/Puren_puzzle,트위터,2019년 11월 4일,2020-04-20,17:44:02,https://twitter.com/Puren_puzzle/status/1252291952780824577,0,0,"8,488",86,432,집에서 디비 자라
1,윤이삭,불법거래,https://twitter.com/Y_Whale0410,트위터,2019년 3월 2일,2020-04-20,17:41:42,https://twitter.com/Y_Whale0410/status/1252291365561499650,0,0,"12,808",164,152,8분 후에 디비누워야지
2,윤이삭,불법거래,https://twitter.com/aoap7373,트위터,2019년 9월 23일,2020-04-20,17:34:19,https://twitter.com/aoap7373/status/1252289508260765697,0,0,"4,859",2,더 보기,안쓰는 디비교환 하실분연락주세요 인터넷에서돈주고디비구매 전부돌고도는 최신디비 아닙니다 디비업자 한테사기그만당하고그냥서로모아온 디비교환해요 텔 dsdv12 -12
3,윤이삭,불법거래,https://twitter.com/AIMIdori,트위터,2017년 5월 27일,2020-04-20,17:32:44,https://twitter.com/AIMIdori/status/1252289108375814152,0,0,"181,411",131,25,디비휴&gt;스테마스&gt;호제던&gt;디지몬사슬&gt;오디세이 순으로 엔딩 봤는데 미국갓겜&gt;일본오타쿠겜 순으로 했넼ㅋㅋㅋㅋ 다시 일본오타쿠겜 차례인데요
4,윤이삭,불법거래,https://twitter.com/woowoo001,트위터,2016년 6월 29일,2020-04-20,17:32:07,https://twitter.com/woowoo001/status/1252288953803132928,0,0,"49,844",256,338,빨 디비 자야지.. 낼 면접잇엉
5,윤이삭,불법거래,https://twitter.com/IevanPolkaBot,트위터,2013년 6월 17일,2020-04-20,17:31:54,https://twitter.com/IevanPolkaBot/status/1252288900279615490,0,0,"14,019",5,더 보기,데야착 착빠리 디까리랄란 딕까리 딜란 디치단둘라 디비다비달라 루따리 루비랑 꼬리간 굿까야 끼리간구
6,윤이삭,불법거래,https://twitter.com/Friday000001,트위터,2019년 5월 15일,2020-04-20,17:30:48,https://twitter.com/Friday000001/status/1252288623648489476,0,0,"7,685",166,162,디비 자?
7,윤이삭,불법거래,https://twitter.com/sjdhkskdml44,트위터,2016년 4월 19일,2020-04-20,17:26:47,https://twitter.com/sjdhkskdml44/status/1252287610111705090,0,1,"29,061",101,120,그리고 지금 다시 듣고싶은데 제목몰라요(디비눕
8,윤이삭,불법거래,https://twitter.com/realbread0034,트위터,2018년 7월 17일,2020-04-20,17:24:29,https://twitter.com/realbread0034/status/1252287032648318981,0,0,"1,005",39,208,ㅅㅂ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ4차혁명과 달리기 무슨상관이냐 사실 옴닉들은 차끌필요없이 달리면 되는건데 그걸 인간이 이해 못하고 있는거냐? 나 지금 시대에 뒤떨어지는거냐 디비휴 언제부터 시작했지 아 넘모 무섭닼ㅋㅋㅋㅋㅋㅋㅋㅋ
9,윤이삭,불법거래,https://twitter.com/bhtjgh,트위터,2019년 8월 6일,2020-04-20,17:06:06,https://twitter.com/bhtjgh/status/1252282404921765888,0,0,"44,085",830,860,그럼 디비 자던지
